0, 0, 1, 100.0, 1, Dec 14 2021 06:32PM
1, 1, 1, 40.0, 1, Dec 14 2021 06:33PM
1, 0, 1, 100.0, 1, Dec 14 2021 06:44PM
2, 1, 1, 40.0, 1, Dec 14 2021 06:44PM
3, 1, 1, 10.0, 1, Dec 14 2021 06:44PM
3, 0, 2, 1050.0, 2, Dec 14 2021 06:47PM
4, 0, 2, 100.0, 2, Dec 14 2021 06:47PM
5, 1, 2, 10.0, 2, Dec 14 2021 06:48PM
5, 0, 5, 1000.0, 5, Dec 14 2021 06:53PM
6, 1, 5, 100.0, 5, Dec 14 2021 06:53PM
6, 0, 5, 100.0, 5, Dec 14 2021 06:57PM
7, 0, 3, 100.0, 3, Dec 14 2021 06:57PM
7, 0, 6, 100.0, 6, Dec 14 2021 07:00PM
7, 1, 6, 100.0, 6, Dec 14 2021 07:00PM
7, 0, 6, 100.0, 6, Dec 14 2021 07:01PM
8, 1, 6, 150.0, 6, Dec 14 2021 07:01PM
9, 0, 3, 50.0, 3, Dec 14 2021 07:01PM
9, 0, 6, 100.0, 6, Dec 17 2021 12:58AM
10, 2, 7, 100.0, 10, Dec 17 2021 01:00AM
11, 2, 8, 120.0, 10, Dec 17 2021 01:00AM
11, 0, 14, 100.0, 14, Dec 17 2021 04:09AM
12, 1, 14, 10.0, 14, Dec 17 2021 04:10AM
12, 0, 9, 100.0, 9, Dec 17 2021 03:06PM
12, 0, 15, 100.0, 15, Dec 18 2021 09:21PM
13, 1, 16, 10.0, 16, Dec 18 2021 09:22PM
14, 0, 17, 100.0, 17, Dec 18 2021 09:23PM
15, 1, 17, 10.0, 17, Dec 18 2021 09:23PM
